Date,Open,High,Low,Close,Volume
2024-03-01 00:30:00,60927.0,61480.2,60600.0,61433.9,6543.981
2024-03-01 01:00:00,61433.9,61538.0,60962.4,61050.0,3421.602
2024-03-01 01:30:00,61050.0,61347.5,60715.0,61270.3,3501.44
2024-03-01 02:00:00,61270.3,61566.0,61216.0,61500.0,2610.719
2024-03-01 02:30:00,61500.0,61598.1,61144.4,61184.1,2367.828
2024-03-01 03:00:00,61184.1,61816.1,61167.8,61780.0,3268.748
2024-03-01 03:30:00,61780.0,61816.2,61506.2,61565.1,1902.107
2024-03-01 04:00:00,61565.1,61642.6,61334.8,61558.7,1802.632
2024-03-01 04:30:00,61558.7,61558.7,61168.4,61265.4,2472.227
2024-03-01 05:00:00,61265.4,61265.7,60833.6,60996.0,3418.67
2024-03-01 05:30:00,60996.0,61126.0,60827.0,61038.4,1659.85
2024-03-01 06:00:00,61038.4,61150.0,60830.0,60841.1,1107.661
2024-03-01 06:30:00,60841.1,61299.9,60841.0,61162.2,1600.819
2024-03-01 07:00:00,61162.2,61494.8,61112.6,61416.3,1519.88
2024-03-01 07:30:00,61416.3,61611.0,61305.0,61611.0,1616.737
2024-03-01 08:00:00,61611.0,61641.4,61459.2,61496.9,1295.461
2024-03-01 08:30:00,61496.9,61581.5,61355.0,61379.7,1154.088
2024-03-01 09:00:00,61379.7,61848.0,61263.5,61732.3,2665.45
2024-03-01 09:30:00,61732.3,61742.8,61504.1,61619.6,1066.045
2024-03-01 10:00:00,61619.6,61847.2,61526.3,61526.3,1791.769
2024-03-01 10:30:00,61526.3,61666.2,61440.0,61494.0,2190.563
2024-03-01 11:00:00,61494.0,61957.3,61366.0,61917.9,3358.576
2024-03-01 11:30:00,61917.9,62324.0,61861.7,61968.1,4678.233
2024-03-01 12:00:00,61968.1,62314.9,61925.2,62220.0,3031.676
2024-03-01 12:30:00,62220.0,62285.9,62113.9,62210.1,1361.496
2024-03-01 13:00:00,62210.1,62287.3,61981.0,62201.9,2008.145
2024-03-01 13:30:00,62201.9,62248.2,61903.1,62052.0,2141.883
2024-03-01 14:00:00,62052.0,62186.0,61950.0,62000.4,1376.768
2024-03-01 14:30:00,62000.4,62057.0,61865.8,61923.7,1519.085
2024-03-01 15:00:00,61923.7,62250.0,61911.4,62200.0,2222.431
2024-03-01 15:30:00,62200.0,62655.0,62165.3,62292.0,5273.087
2024-03-01 16:00:00,62292.0,62763.3,62250.3,62610.0,3216.814
2024-03-01 16:30:00,62610.0,62685.0,62450.0,62510.0,1805.877
2024-03-01 17:00:00,62510.0,62538.2,62303.8,62415.6,1862.586
2024-03-01 17:30:00,62415.6,62525.9,61544.5,62013.8,9076.129
2024-03-01 18:00:00,62013.8,62240.0,61781.1,61934.1,3959.106
2024-03-01 18:30:00,61934.1,61977.1,61156.6,61331.4,6316.618
2024-03-01 19:00:00,61331.4,61689.0,61300.0,61574.9,4021.624
2024-03-01 19:30:00,61574.9,61617.6,61308.5,61481.4,2319.877
